wave,var_name,question,options,n_options,pct_answered
W26,GUNRESPNOKIDSB,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns unloaded,Essential | Important but not essential | Not important | Should not be done,4,49.7
W26,GUNRESPNOKIDSC,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Take gun safety courses,Essential | Important but not essential | Not important | Should not be done,4,49.7
W26,GUNRESPNOKIDSD,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors that there are guns in the house,Essential | Important but not essential | Not important | Should not be done,4,24.6
W26,GUNRESPNOKIDSE,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors with children that there are guns in the house,Essential | Important but not essential | Not important | Should not be done,4,25.0
W26,GUNRESPNOKIDSF,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Store guns and ammunition separately,Essential | Important but not essential | Not important | Should not be done,4,49.7
W26,GUNRESPNOKIDSG,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep their shooting skills up-to-date,Essential | Important but not essential | Not important | Should not be done,4,49.7
W26,GUNRESPKIDSA,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns in a locked place,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNRESPKIDSB,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns unloaded,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNRESPKIDSC,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Take gun safety courses,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNRESPKIDSD,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors that there are guns in the house,Essential | Important but not essential | Not important | Should not be done,4,23.8
W26,GUNRESPKIDSE,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors with children that there are guns in the house,Essential | Important but not essential | Not important | Should not be done,4,26.6
W26,GUNRESPKIDSF,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Store guns and ammunition separately,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNRESPKIDSG,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep their shooting skills up-to-date,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNRESPKIDSH,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Talk to their children about gun safety,Essential | Important but not essential | Not important | Should not be done,4,50.3
W26,GUNSAFETYKIDS,"For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?",Yes | No | I do not have children under 18,3,27.6
W26,CARRYGUN,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",All of the time | Most of the time | Only some of the time | Never,4,24.4
W26,NOCARRYGUN,And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,Don't want to carry | Some other reason,2,10.7
W26,GUNKILLF1,"Which comes closer to your view, even if neither is exactly right?",People who want to kill or harm others will find a way to do it whether they have a gun or not | People who want to kill or harm others are less likely to do it if they don't have a gun,2,49.7
W26,GUNKILLF2,"Thinking about people who commit suicide using a gun, which comes closer to your view, even if neither is exactly right?",They would find a way to do it whether they had access to a gun or not | They would be less likely to do it if they didn't have access to a gun,2,50.3
W26,GUNACTIVITYA,"How often, if ever, do you…Visit websites about guns, hunting or other shooting sports",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GUNACTIVITYB,"How often, if ever, do you…Watch TV programs about guns or watch gun-oriented videos",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GUNACTIVITYC,"How often, if ever, do you…Listen to gun-oriented podcasts or radio shows",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GUNACTIVITYD,"How often, if ever, do you…Participate in online discussion forums about guns",Often | Sometimes | Hardly ever | Never,4,100.0
W26,GUNACTIVITYE,"How often, if ever, do you…Attend gun shows",Often | Sometimes | Hardly ever | Never,4,100.0
W26,VIDEOGAME1,"How often, if ever, do you play video games on a computer, TV, game console, or portable device like a cellphone?",Often | Sometimes | Hardly ever | Never,4,100.0
W27,CAREREL,"How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?",Very likely | Somewhat likely | Not too likely | Not at all likely | I am already doing this,5,100.0
W27,KNOW1,"Based on what you know, in the last 30 years has the total number of manufacturing jobs in the United States...",Increased | Decreased | Stayed about the same,3,100.0
W27,KNOW2,"Based on what you know, in the last 30 years has the value of the goods and products manufactured in the United States...",Increased | Decreased | Stayed about the same,3,100.0
W27,PREDICTA,Do you think each of the following things will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,Will definitely happen | Will probably happen | Will probably NOT happen | Will definitely NOT happen,4,100.0
W27,PREDICTB,Do you think each of the following things will or will not happen in the next 20 years? Most stores and retail businesses will be fully automated and involve little or no human interaction between customers and employees,Will definitely happen | Will probably happen | Will probably NOT happen | Will definitely NOT happen,4,100.0
W27,PREDICTC,Do you think each of the following things will or will not happen in the next 20 years? Most deliveries in cities will be made by robots or drones instead of humans,Will definitely happen | Will probably happen | Will probably NOT happen | Will definitely NOT happen,4,100.0
W27,PREDICTD,"Do you think each of the following things will or will not happen in the next 20 years? When people want to buy most common products, they will create them at home using a 3-D printer",Will definitely happen | Will probably happen | Will probably NOT happen | Will definitely NOT happen,4,100.0
W27,CARS1,"How much have you seen or heard about the effort to develop driverless vehicles - that is, cars and trucks that can operate on their own without a human driver?",A lot | A little | Nothing at all,3,100.0
W27,CARS2,"Has what you've seen or heard about driverless vehicles been mostly positive, mostly negative, or a mix of both?",Mostly positive | Mostly negative | A mix of both,3,96.2
W27,CARS3A,"How Enthusiastic are you, if at all, about the development of driverless vehicles?",Very enthusiastic | Somewhat enthusiastic | Not too enthusiastic | Not at all enthusiastic,4,100.0
W27,CARS3B,"How Worried are you, if at all, about the development of driverless vehicles?",Very worried | Somewhat worried | Not too worried | Not at all worried,4,100.0
W27,CARS4,"How long, if ever, do you think it will take for MOST of the vehicles on the road to be driverless, rather than driven by humans?",Less than 10 years | 10 to less than 50 years | 50 to less than 100 years | 100 or more years | It will never happen,5,100.0
W27,CARS7A,How safe would you feel sharing the road with a driverless passenger vehicle?,Very safe | Somewhat safe | Not too safe | Not safe at all,4,100.0
W27,CARS7B,How safe would you feel sharing the road with a driverless freight truck?,Very safe | Somewhat safe | Not too safe | Not safe at all,4,100.0
W27,CARS8,"If driverless vehicles become widespread, do you think that the number of people killed or injured in traffic accidents will increase, decrease, or stay about the same?",Increase | Decrease | Stay about the same,3,100.0
W27,CARS9A,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to travel in dedicated lanes",Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,CARS9B,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Restricting them from traveling near certain areas, such as schools",Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,CARS9C,"Would you strongly favor, favor, oppose, or strongly oppose the following rules and regulations for driverless vehicles? Requiring them to have a person in the driver's seat who could take control in an emergency situation",Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,CARS10A,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Elderly and disabled people will be able to live more independently","Yes, likely | No, not likely",2,100.0
W27,CARS10B,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Many people who drive for a living would lose their jobs","Yes, likely | No, not likely",2,100.0
W27,CARS10C,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Owning a car would become much less important to people","Yes, likely | No, not likely",2,100.0
W27,CARS10D,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? Most people would never learn how to drive a car on their own","Yes, likely | No, not likely",2,100.0
W27,CARS10E,"If driverless vehicles become widespread, which of the following do you think are likely to happen as a result? There would be much less traffic in major cities","Yes, likely | No, not likely",2,100.0
W27,WORK2,"On a different subject...Would you say that society generally places TOO MUCH importance on working and having a job, NOT Enough importance on working and having a job, or is it just about right?",Too much importance | Not enough importance | Just about right,3,100.0
W27,WORK3A,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Industrial robots",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK3B,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Word processing or spreadsheet software",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK3C,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Email or social media",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK3D,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Software that manages your daily work schedule or routine",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK3E,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Smartphones",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK3F,"Have the following technologies had a [positive impact, a negative impact / negative impact, positive impact], or no impact either way on you and your job or career? Technologies that help customers serve themselves on their own",Positive impact | Negative impact | No impact either way,3,60.7
W27,WORK4A,"Thinking about how Demanding your work is, has technology generally made your work...",More demanding | Less demanding | No impact either way,3,60.7
W27,WORK4B,"Thinking about how Interesting your work is, has technology generally made your work...",More interesting | Less interesting | No impact either way,3,60.7
W27,WORK4C,"Thinking about opportunities for advancement in your career, do you feel that technology has...",Increased your opportunities | Decreased your opportunities | No impact either way,3,60.7
W27,ROBJOB1,"Please consider the following scenario...New developments in robotics and computing are changing the nature of many jobs...How much have you heard, read, or thought about this idea before today?",A lot | A little | Nothing at all,3,100.0
W27,ROBJOB2,"Based on what you know, does this concept seem...",Extremely realistic | Somewhat realistic | Not very realistic | Not at all realistic,4,100.0
W27,ROBJOB3A,"How Enthusiastic are you, if at all, about this possibility for society as a whole?",Very enthusiastic | Somewhat enthusiastic | Not too enthusiastic | Not at all enthusiastic,4,100.0
W27,ROBJOB3B,"How Worried are you, if at all, about this possibility for society as a whole?",Very worried | Somewhat worried | Not too worried | Not at all worried,4,100.0
W27,ROBJOB4A,Do you think the following are likely or not likely to happen as a result? Inequality between rich and poor would be much worse than it is today,"Yes, likely | No, not likely",2,100.0
W27,ROBJOB4B,Do you think the following are likely or not likely to happen as a result? People would have a hard time finding things to do with their lives,"Yes, likely | No, not likely",2,100.0
W27,ROBJOB4C,Do you think the following are likely or not likely to happen as a result? People would be able to focus less on work and more on the things that really matter to them in life,"Yes, likely | No, not likely",2,100.0
W27,ROBJOB4D,Do you think the following are likely or not likely to happen as a result? The economy as a whole would be much more efficient,"Yes, likely | No, not likely",2,100.0
W27,ROBJOB4E,"Do you think the following are likely or not likely to happen as a result? The economy would create many new, better-paying jobs for humans","Yes, likely | No, not likely",2,100.0
W27,ROBJOB4F,Do you think the following are likely or not likely to happen as a result? Humans would find their jobs more meaningful and fulfilling since machines would mostly be doing things that humans find unappealing,"Yes, likely | No, not likely",2,100.0
W27,ROBJOB5A,Would you favor or oppose the following? If the federal government provided all Americans with a guaranteed income that would allow them to meet their basic needs,Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,ROBJOB5B,Would you favor or oppose the following? If robots and computers were mostly limited to doing jobs that are dangerous or unhealthy for humans to do,Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,ROBJOB5C,"Would you favor or oppose the following? If people had the option of paying extra to interact with a human, rather than a robot or computer, when buying a product or service",Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,ROBJOB5D,Would you favor or oppose the following? If the federal government created a national service program that paid people to perform tasks even if a robot or computer could do those tasks faster or cheaper,Strongly favor | Favor | Oppose | Strongly oppose,4,100.0
W27,ROBJOB6,"Which of the following statements best describes how you feel, even if neither is exactly right?","The government would have an obligation to take care of people whose jobs are displaced by robots and computers... | Individuals would have an obligation to take care of their own financial well-being, even if robots and computers...",2,100.0
W27,ROBJOB7,"Which of the following statements best describes how you feel, even if neither is exactly right?","If businesses can receive better work at lower cost by replacing humans with robots and computers, they are justified... | There should be limits on how many jobs businesses can replace with robots and computers, even if they can do those...",2,100.0
W27,ROBJOB8A,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Software engineer",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8B,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Legal clerk",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8C,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Nurse",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8D,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Construction worker",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8E,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Fast food worker",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8F,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Teacher",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB8G,"Do you think it is very likely, somewhat likely, not very likely, or not at all likely that the following jobs will be mostly replaced by robots or computers in your lifetime? Insurance claims processor",Very likely | Somewhat likely | Not very likely | Not at all likely,4,100.0
W27,ROBJOB9,"How likely, if at all, do you think it is that YOUR OWN job or profession will be mostly done by robots or computers in your lifetime?",Very likely | Somewhat likely | Not very likely | Not at all likely,4,60.7
W27,WORK5A,"Have you yourself ever lost a job because your employer replaced your position with a machine, robot or computer program?",Yes | No | I'm not sure,3,100.0
W27,WORK6,"Have you ever had your pay or hours reduced because your employer replaced some aspect of your job with a machine, robot or computer program?",Yes | No | I'm not sure,3,100.0
W27,CAREGIV1,"Next, please consider the following scenario...Today, many older adults move into assisted living facilities when they can no longer live independently...How much have you heard, read, or thought about this idea before today?",A lot | A little | Nothing at all,3,49.5
W27,CAREGIV2,"Based on what you know, does this concept seem...",Extremely realistic | Somewhat realistic | Not very realistic | Not at all realistic,4,49.5
W27,CAREGIV3A,"How Enthusiastic are you, if at all, about this possibility for society as a whole?",Very enthusiastic | Somewhat enthusiastic | Not too enthusiastic | Not at all enthusiastic,4,49.5
W27,CAREGIV3B,"How Worried are you, if at all, about this possibility for society as a whole?",Very worried | Somewhat worried | Not too worried | Not at all worried,4,49.5
W27,CAREGIV6A,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Young people would feel less worried about caring for their aging relatives","Yes, likely | No, not likely",2,49.5
W27,CAREGIV6B,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Society would save money on caring for older adults","Yes, likely | No, not likely",2,49.5
W27,CAREGIV6C,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Many older adults would treat their robot caregiver like a human friend","Yes, likely | No, not likely",2,49.5
W27,CAREGIV6D,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more isolated than they do today","Yes, likely | No, not likely",2,49.5
W27,CAREGIV6E,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? Older adults would feel more independent and self-sufficient","Yes, likely | No, not likely",2,49.5
W27,CAREGIV6F,"If robot caregivers such as these were developed, do you think the following are likely or not likely to happen as a result? These robots would only be used by people who could not afford a human caregiver for their loved one","Yes, likely | No, not likely",2,49.5
W27,CAREGIV7,"Would you feel better, worse, or would it not make a difference if the robot caregiver in this scenario had a camera so that a human operator could monitor the situation at all times?",Better | Worse | No difference,3,49.5
W27,HIRING1,"Today, when companies are hiring they typically have someone read applicants’ resumes and conduct personal interviews to choose the right person for the job...How much have you heard, read, or thought about this idea before today?",A lot | A little | Nothing at all,3,50.5
W27,HIRING2,"Based on what you know, does this concept seem...",Extremely realistic | Somewhat realistic | Not very realistic | Not at all realistic,4,50.5
W27,HIRING3A,"How Enthusiastic are you, if at all, about this possibility for society as a whole?",Very enthusiastic | Somewhat enthusiastic | Not too enthusiastic | Not at all enthusiastic,4,50.5
W27,HIRING3B,"How Worried are you, if at all, about this possibility for society as a whole?",Very worried | Somewhat worried | Not too worried | Not at all worried,4,50.5
W27,HIRING6A,"Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Hiring candidates who are well-qualified",Better job than humans | Worse job than humans | About the same,3,50.5
W27,HIRING6B,"Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Hiring candidates who fit well with the company's culture",Better job than humans | Worse job than humans | About the same,3,50.5
W27,HIRING6C,"Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Choosing candidates from a diverse range of backgrounds",Better job than humans | Worse job than humans | About the same,3,50.5
W27,HIRING6D,"Do you think these computer programs would do a better job, a worse job, or do about the same as humans when it comes to… Providing opportunities for candidates with non-traditional experiences",Better job than humans | Worse job than humans | About the same,3,50.5
W27,HIRING7A,If these computer programs included public data about each candidate - such as the material they post on social media - in making their evaluations,Better | Worse | No difference,3,50.5
W27,HIRING7B,"If companies used these computer programs to conduct initial screenings of potential candidates, but then interviewed those candidates in the traditional way",Better | Worse | No difference,3,50.5
W27,VOICE4,"When you use digital assistants, how often do they accurately respond to your commands?",Most of the time | Some of the time | Not very often,3,25.6
W27,VOICE5A,"Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It lets me use my phone or device while doing other things with my hands",Major reason | Minor reason | Not a reason,3,25.6
W27,VOICE5B,"Which of the following, if any, are reasons why you use a voice-controlled digital assistant? Spoken language feels more natural than typing",Major reason | Minor reason | Not a reason,3,25.6
W27,VOICE5C,"Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It's easier for children to use",Major reason | Minor reason | Not a reason,3,25.6
W27,VOICE5D,"Which of the following, if any, are reasons why you use a voice-controlled digital assistant? It's fun",Major reason | Minor reason | Not a reason,3,25.6
W27,DRONE4A,Do you think that private citizens should or should not be allowed to pilot drones in the following areas? Near people's homes,Should be allowed | Should not be allowed | It depends,3,50.5
W27,DRONE4B,Do you think that private citizens should or should not be allowed to pilot drones in the following areas? Near crime scenes or traffic accidents,Should be allowed | Should not be allowed | It depends,3,50.5
W27,DRONE4C,Do you think that private citizens should or should not be allowed to pilot drones in the following areas? On beaches,Should be allowed | Should not be allowed | It depends,3,50.5
W27,DRONE4D,Do you think that private citizens should or should not be allowed to pilot drones in the following areas? In public parks,Should be allowed | Should not be allowed | It depends,3,50.5
W27,DRONE4E,"Do you think that private citizens should or should not be allowed to pilot drones in the following areas? At events, like concerts or rallies",Should be allowed | Should not be allowed | It depends,3,50.5
W29,NOWSMK_NHIS,Do you NOW smoke cigarettes...,Every day | Some days | Not at all,3,42.8
W29,DIFF1A,Do you think men and women are (basically similar) or (basically different) when it comes to each of the following? Their hobbies and personal interests,Men and women are basically SIMILAR | Men and women are basically DIFFERENT,2,100.0
