model_label,question_id,n_options,wd_rep,wd_dem,wd_overall,closer_to,partisan_gap
Claude Sonnet 4.5,atp_W26_GUNKILLF1,2,0.905,0.4848,0.6813,Dem,0.4202
Claude Sonnet 4.5,atp_W26_GUNKILLF2,2,0.8852,0.5493,0.702,Dem,0.3359
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSA,4,0.1187,0.0379,0.0743,Dem,0.0807
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSB,4,0.2501,0.2945,0.2732,Rep,0.1157
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSC,4,0.12,0.0736,0.0943,Dem,0.0545
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,4,0.3598,0.2721,0.3127,Dem,0.1515
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,4,0.3993,0.2652,0.3254,Dem,0.1341
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSF,4,0.2279,0.1112,0.1653,Dem,0.1167
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSG,4,0.1981,0.2174,0.2093,Rep,0.0432
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSH,4,0.0312,0.0284,0.0302,Dem,0.0027
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,4,0.2335,0.2659,0.2512,Rep,0.1193
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,4,0.3893,0.5023,0.4507,Rep,0.1573
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSC,4,0.2283,0.2768,0.2552,Rep,0.0672
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,4,0.2062,0.2699,0.2413,Rep,0.1294
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,4,0.2727,0.2677,0.2714,Dem,0.1624
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,4,0.3707,0.4817,0.4308,Rep,0.1456
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSG,4,0.1952,0.2136,0.2056,Rep,0.0184
Claude Sonnet 4.5,atp_W26_GUNSAFE,3,0.2386,0.5548,0.3633,Rep,0.3162
Claude Sonnet 4.5,atp_W26_GUNSAFE2,3,0.4701,0.3176,0.3639,Dem,0.1525
Claude Sonnet 4.5,atp_W26_GUNSAFETYKIDS,3,0.8718,0.7858,0.8284,Dem,0.0862
Claude Sonnet 4.5,atp_W26_GUNSOCIETY,2,0.4543,0.4025,0.4268,Dem,0.0519
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNA,3,0.6391,0.5008,0.5854,Dem,0.1384
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,3,0.7474,0.5926,0.6854,Dem,0.1547
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNC,3,0.5932,0.4552,0.539,Dem,0.1379
Claude Sonnet 4.5,atp_W26_IMPREASONGUN,5,0.2004,0.2634,0.2175,Rep,0.0631
Claude Sonnet 4.5,atp_W26_KNOWGUN,3,0.0853,0.1038,0.0933,Rep,0.0611
Claude Sonnet 4.5,atp_W26_NEVEROWN,2,0.8282,0.4855,0.7121,Dem,0.3428
Claude Sonnet 4.5,atp_W26_NOCARRYGUN,2,0.56,0.8042,0.6599,Rep,0.2442
Claude Sonnet 4.5,atp_W26_POL1DTSTR,2,0.3533,0.1268,0.2316,Dem,0.2265
Claude Sonnet 4.5,atp_W26_REASONGUNA,3,0.1784,0.3627,0.2393,Rep,0.1844
Claude Sonnet 4.5,atp_W26_REASONGUNB,3,0.4994,0.3658,0.4562,Dem,0.1336
Claude Sonnet 4.5,atp_W26_REASONGUNC,3,0.323,0.3318,0.3269,Rep,0.0964
Claude Sonnet 4.5,atp_W26_REASONGUND,3,0.3741,0.3838,0.3789,Rep,0.0622
Claude Sonnet 4.5,atp_W26_REASONGUNE,3,0.4614,0.4642,0.4604,Rep,0.0136
Claude Sonnet 4.5,atp_W26_SAFECRIME,4,0.1506,0.1503,0.1508,Dem,0.0249
Claude Sonnet 4.5,atp_W26_SATISF,2,0.4498,0.1073,0.2609,Dem,0.3425
Claude Sonnet 4.5,atp_W26_SATISFY,2,0.2886,0.3168,0.3094,Rep,0.0282
Claude Sonnet 4.5,atp_W26_SOCTRUST,2,0.5423,0.5372,0.5388,Dem,0.0052
Claude Sonnet 4.5,atp_W26_TRUSTFEDGOV,4,0.108,0.1332,0.122,Rep,0.036
Claude Sonnet 4.5,atp_W26_VIDEOGAME1,4,0.4234,0.4077,0.4149,Dem,0.0192
Claude Sonnet 4.5,atp_W26_WORLDDANGER,3,0.0913,0.1972,0.1478,Rep,0.1059
Claude Sonnet 4.5,atp_W26_WORRYA,3,0.1888,0.2168,0.2054,Rep,0.0279
Claude Sonnet 4.5,atp_W26_WORRYB,3,0.2457,0.3024,0.2775,Rep,0.0713
Claude Sonnet 4.5,atp_W26_WORRYC,3,0.3072,0.2854,0.2954,Dem,0.0649
Claude Sonnet 4.5,atp_W26_WORRYD,3,0.2792,0.293,0.2878,Rep,0.077
Claude Sonnet 4.5,atp_W26_WORRYE,3,0.2353,0.2418,0.2389,Rep,0.0225
Claude Sonnet 4.5,atp_W26_WORRYF,3,0.3415,0.3236,0.3318,Dem,0.0728
Claude Sonnet 4.5,atp_W26_WORRYG,3,0.2032,0.1999,0.203,Dem,0.0835
Claude Sonnet 4.5,atp_W27_CAREGIV1,3,0.3575,0.3166,0.3353,Dem,0.0615
Claude Sonnet 4.5,atp_W27_CAREGIV2,4,0.2504,0.2882,0.2719,Rep,0.06
Claude Sonnet 4.5,atp_W27_CAREGIV3A,4,0.2872,0.2522,0.2689,Dem,0.0631
Claude Sonnet 4.5,atp_W27_CAREGIV3B,4,0.2547,0.2671,0.2614,Rep,0.0266
Claude Sonnet 4.5,atp_W27_CAREGIV6A,2,0.2464,0.2261,0.2384,Dem,0.0203
Claude Sonnet 4.5,atp_W27_CAREGIV6B,2,0.495,0.3837,0.4357,Dem,0.1113
Claude Sonnet 4.5,atp_W27_CAREGIV6C,2,0.4819,0.4006,0.4375,Dem,0.0813
Claude Sonnet 4.5,atp_W27_CAREGIV6D,2,0.7036,0.6157,0.6568,Dem,0.0879
Claude Sonnet 4.5,atp_W27_CAREGIV6E,2,0.413,0.3269,0.3667,Dem,0.0861
Claude Sonnet 4.5,atp_W27_CAREGIV6F,2,0.4267,0.4006,0.4118,Dem,0.0261
Claude Sonnet 4.5,atp_W27_CAREGIV7,3,0.4023,0.3919,0.3972,Dem,0.0104
Claude Sonnet 4.5,atp_W27_CAREREL,5,0.3375,0.3142,0.3257,Dem,0.0234
Claude Sonnet 4.5,atp_W27_CARS1,3,0.2069,0.234,0.222,Rep,0.0337
Claude Sonnet 4.5,atp_W27_CARS10A,2,0.2598,0.1749,0.215,Dem,0.085
Claude Sonnet 4.5,atp_W27_CARS10B,2,0.1957,0.1817,0.1885,Dem,0.014
Claude Sonnet 4.5,atp_W27_CARS10C,2,0.584,0.5437,0.5607,Dem,0.0403
Claude Sonnet 4.5,atp_W27_CARS10D,2,0.327,0.3362,0.3314,Rep,0.0092
Claude Sonnet 4.5,atp_W27_CARS10E,2,0.2002,0.2946,0.2517,Rep,0.0944
Claude Sonnet 4.5,atp_W27_CARS2,3,0.2646,0.312,0.2884,Rep,0.0474
Claude Sonnet 4.5,atp_W27_CARS3A,4,0.3351,0.2684,0.3005,Dem,0.1126
Claude Sonnet 4.5,atp_W27_CARS3B,4,0.2625,0.2372,0.2498,Dem,0.0398
Claude Sonnet 4.5,atp_W27_CARS4,5,0.1624,0.1301,0.1458,Dem,0.0368
Claude Sonnet 4.5,atp_W27_CARS7A,4,0.2403,0.2844,0.2642,Rep,0.0901
Claude Sonnet 4.5,atp_W27_CARS7B,4,0.2395,0.2622,0.2517,Rep,0.0844
Claude Sonnet 4.5,atp_W27_CARS8,3,0.3232,0.2561,0.2878,Dem,0.0671
Claude Sonnet 4.5,atp_W27_CARS9A,4,0.455,0.4202,0.4372,Dem,0.0431
Claude Sonnet 4.5,atp_W27_CARS9B,4,0.2298,0.2341,0.2326,Rep,0.0751
Claude Sonnet 4.5,atp_W27_CARS9C,4,0.1926,0.2284,0.2111,Rep,0.0357
Claude Sonnet 4.5,atp_W27_DRONE4A,3,0.3919,0.3797,0.3844,Dem,0.0123
Claude Sonnet 4.5,atp_W27_DRONE4B,3,0.2213,0.2172,0.22,Dem,0.0446
Claude Sonnet 4.5,atp_W27_DRONE4C,3,0.5122,0.4836,0.4957,Dem,0.0286
Claude Sonnet 4.5,atp_W27_DRONE4D,3,0.5679,0.5396,0.5518,Dem,0.0283
Claude Sonnet 4.5,atp_W27_DRONE4E,3,0.466,0.4509,0.4571,Dem,0.0152
Claude Sonnet 4.5,atp_W27_HIRING1,3,0.3224,0.3174,0.3204,Dem,0.0228
Claude Sonnet 4.5,atp_W27_HIRING2,4,0.254,0.2809,0.2688,Rep,0.0566
Claude Sonnet 4.5,atp_W27_HIRING3A,4,0.3845,0.3537,0.3685,Dem,0.0422
Claude Sonnet 4.5,atp_W27_HIRING3B,4,0.1964,0.1923,0.1952,Dem,0.0096
Claude Sonnet 4.5,atp_W27_HIRING6A,3,0.4596,0.4488,0.454,Dem,0.0532
Claude Sonnet 4.5,atp_W27_HIRING6B,3,0.1555,0.1896,0.1748,Rep,0.0341
Claude Sonnet 4.5,atp_W27_HIRING6C,3,0.4931,0.5447,0.5192,Rep,0.0517
Claude Sonnet 4.5,atp_W27_HIRING6D,3,0.1649,0.1856,0.1781,Rep,0.0207
Claude Sonnet 4.5,atp_W27_HIRING7A,3,0.278,0.2304,0.2525,Dem,0.0476
Claude Sonnet 4.5,atp_W27_HIRING7B,3,0.7386,0.7334,0.733,Dem,0.0052
Claude Sonnet 4.5,atp_W27_KNOW1,3,0.0536,0.0725,0.0641,Rep,0.0188
Claude Sonnet 4.5,atp_W27_KNOW2,3,0.421,0.3971,0.4081,Dem,0.0387
Claude Sonnet 4.5,atp_W27_PREDICTA,4,0.1314,0.1392,0.137,Rep,0.0182
Claude Sonnet 4.5,atp_W27_PREDICTB,4,0.1627,0.1655,0.1648,Rep,0.0056
Claude Sonnet 4.5,atp_W27_PREDICTC,4,0.1689,0.1595,0.1645,Dem,0.0382
Claude Sonnet 4.5,atp_W27_PREDICTD,4,0.1489,0.1629,0.1577,Rep,0.0162
Claude Sonnet 4.5,atp_W27_ROBJOB1,3,0.1675,0.1996,0.1848,Rep,0.0594
Claude Sonnet 4.5,atp_W27_ROBJOB2,4,0.1463,0.1444,0.1459,Dem,0.0468
Claude Sonnet 4.5,atp_W27_ROBJOB3A,4,0.3256,0.2722,0.2984,Dem,0.074
Claude Sonnet 4.5,atp_W27_ROBJOB3B,4,0.1917,0.1784,0.1854,Dem,0.0133
Claude Sonnet 4.5,atp_W27_ROBJOB4A,2,0.2676,0.1811,0.2209,Dem,0.0866
Claude Sonnet 4.5,atp_W27_ROBJOB4B,2,0.6239,0.5875,0.6047,Dem,0.0364
Claude Sonnet 4.5,atp_W27_ROBJOB4C,2,0.6472,0.5512,0.5949,Dem,0.096
Claude Sonnet 4.5,atp_W27_ROBJOB4D,2,0.424,0.4961,0.4606,Rep,0.0721
Claude Sonnet 4.5,atp_W27_ROBJOB4E,2,0.2628,0.2714,0.2651,Rep,0.0087
Claude Sonnet 4.5,atp_W27_ROBJOB4F,2,0.3785,0.4463,0.4154,Rep,0.0678
Claude Sonnet 4.5,atp_W27_ROBJOB5A,4,0.4189,0.2325,0.3176,Dem,0.3663
Claude Sonnet 4.5,atp_W27_ROBJOB5B,4,0.1953,0.2162,0.2071,Rep,0.0264
Claude Sonnet 4.5,atp_W27_ROBJOB5C,4,0.2285,0.2207,0.2257,Dem,0.0135
Claude Sonnet 4.5,atp_W27_ROBJOB5D,4,0.4045,0.5716,0.4969,Rep,0.1671
Claude Sonnet 4.5,atp_W27_ROBJOB6,2,0.7857,0.3415,0.545,Dem,0.4442
Claude Sonnet 4.5,atp_W27_ROBJOB7,2,0.571,0.4748,0.5159,Dem,0.0962
Claude Sonnet 4.5,atp_W27_ROBJOB8A,4,0.2284,0.2482,0.2401,Rep,0.0332
Claude Sonnet 4.5,atp_W27_ROBJOB8B,4,0.2422,0.2246,0.233,Dem,0.0531
Claude Sonnet 4.5,atp_W27_ROBJOB8C,4,0.1774,0.1683,0.1743,Dem,0.0437
Claude Sonnet 4.5,atp_W27_ROBJOB8D,4,0.3161,0.2695,0.2914,Dem,0.0774
Claude Sonnet 4.5,atp_W27_ROBJOB8E,4,0.2709,0.2659,0.2703,Dem,0.0049
Claude Sonnet 4.5,atp_W27_ROBJOB8F,4,0.2215,0.2089,0.2155,Dem,0.0204
Claude Sonnet 4.5,atp_W27_ROBJOB8G,4,0.4293,0.3668,0.3963,Dem,0.0624
Claude Sonnet 4.5,atp_W27_ROBJOB9,4,0.3015,0.3486,0.3267,Rep,0.047
Claude Sonnet 4.5,atp_W27_VOICE4,3,0.3653,0.333,0.348,Dem,0.0323
Claude Sonnet 4.5,atp_W27_VOICE5A,3,0.3148,0.3019,0.3073,Dem,0.0143
Claude Sonnet 4.5,atp_W27_VOICE5B,3,0.3208,0.3154,0.317,Dem,0.0342
Claude Sonnet 4.5,atp_W27_VOICE5C,3,0.1678,0.2086,0.1911,Rep,0.0408
Claude Sonnet 4.5,atp_W27_VOICE5D,3,0.313,0.2978,0.3039,Dem,0.0563
Claude Sonnet 4.5,atp_W27_WORK2,3,0.443,0.3909,0.417,Dem,0.2004
Claude Sonnet 4.5,atp_W27_WORK3A,3,0.3674,0.3332,0.3484,Dem,0.0341
Claude Sonnet 4.5,atp_W27_WORK3B,3,0.1869,0.1544,0.1727,Dem,0.0325
Claude Sonnet 4.5,atp_W27_WORK3C,3,0.2781,0.2203,0.2489,Dem,0.0578
Claude Sonnet 4.5,atp_W27_WORK3D,3,0.3998,0.3499,0.3759,Dem,0.0498
Claude Sonnet 4.5,atp_W27_WORK3E,3,0.2254,0.1933,0.2112,Dem,0.0321
Claude Sonnet 4.5,atp_W27_WORK3F,3,0.508,0.5778,0.5438,Rep,0.0698
Claude Sonnet 4.5,atp_W27_WORK4A,3,0.4104,0.4212,0.4182,Rep,0.0108
Claude Sonnet 4.5,atp_W27_WORK4B,3,0.3775,0.335,0.3572,Dem,0.0426
Claude Sonnet 4.5,atp_W27_WORK4C,3,0.4571,0.4232,0.4406,Dem,0.0339
Claude Sonnet 4.5,atp_W27_WORK5A,3,0.0146,0.0243,0.0206,Rep,0.0097
Claude Sonnet 4.5,atp_W27_WORK6,3,0.0251,0.0319,0.0301,Rep,0.0068
Claude Sonnet 4.5,atp_W29_BOYSF1A,3,0.2246,0.3612,0.3014,Rep,0.1367
Claude Sonnet 4.5,atp_W29_BOYSF1B,3,0.2614,0.125,0.1868,Dem,0.1364
Claude Sonnet 4.5,atp_W29_BOYSF1C,3,0.2585,0.3722,0.3219,Rep,0.1137
Claude Sonnet 4.5,atp_W29_BOYSF1D,3,0.2052,0.2381,0.2253,Rep,0.033
Claude Sonnet 4.5,atp_W29_COMPUTERUSE,4,0.1602,0.1606,0.1639,Rep,0.0181
Claude Sonnet 4.5,atp_W29_DIFF1A,2,0.2228,0.3917,0.3191,Rep,0.1689
Claude Sonnet 4.5,atp_W29_DIFF1B,2,0.1373,0.3069,0.2334,Rep,0.1696
Claude Sonnet 4.5,atp_W29_DIFF1C,2,0.2913,0.3913,0.3487,Rep,0.1
Claude Sonnet 4.5,atp_W29_DIFF1D,2,0.0693,0.1319,0.1061,Rep,0.0626
Claude Sonnet 4.5,atp_W29_DIFF1E,2,0.5673,0.7459,0.6681,Rep,0.1786
Claude Sonnet 4.5,atp_W29_DIFF2,2,0.6854,0.4382,0.5466,Dem,0.2472
Claude Sonnet 4.5,atp_W29_DIFF3,3,0.5486,0.3782,0.452,Dem,0.1705
Claude Sonnet 4.5,atp_W29_E6A,3,0.3416,0.2418,0.2768,Dem,0.0998
Claude Sonnet 4.5,atp_W29_FAVORS_CPS,6,0.2492,0.2469,0.2475,Dem,0.0296
Claude Sonnet 4.5,atp_W29_FEM1F2,3,0.3516,0.3522,0.3494,Rep,0.0153
Claude Sonnet 4.5,atp_W29_FEM2,4,0.7442,0.69,0.7126,Dem,0.0542
Claude Sonnet 4.5,atp_W29_FEM2AF2,2,0.0651,0.3022,0.1952,Rep,0.2371
Claude Sonnet 4.5,atp_W29_FEM2BF2,2,0.0348,0.0254,0.0287,Dem,0.0094
Claude Sonnet 4.5,atp_W29_GIRLSF2A,3,0.3054,0.154,0.2198,Dem,0.1515
Claude Sonnet 4.5,atp_W29_GIRLSF2B,3,0.3718,0.3126,0.3376,Dem,0.0593
Claude Sonnet 4.5,atp_W29_GIRLSF2C,3,0.2888,0.1668,0.2198,Dem,0.122
Claude Sonnet 4.5,atp_W29_GIRLSF2D,3,0.2192,0.2966,0.2644,Rep,0.0774
Claude Sonnet 4.5,atp_W29_GOODJOBS,2,0.4636,0.3973,0.4241,Dem,0.0663
Claude Sonnet 4.5,atp_W29_HELPHURTA,3,0.2292,0.2576,0.2452,Rep,0.0983
Claude Sonnet 4.5,atp_W29_HELPHURTB,3,0.2197,0.4172,0.3311,Rep,0.1975
Claude Sonnet 4.5,atp_W29_HELPHURTC,3,0.2563,0.4363,0.357,Rep,0.18
Claude Sonnet 4.5,atp_W29_HELPHURTD,3,0.2156,0.1738,0.1928,Dem,0.0524
Claude Sonnet 4.5,atp_W29_HELPHURTE,3,0.3246,0.353,0.3412,Rep,0.0283
Claude Sonnet 4.5,atp_W29_HELPHURTF,3,0.1966,0.1624,0.178,Dem,0.0603
Claude Sonnet 4.5,atp_W29_HELPHURTG,3,0.2924,0.2102,0.2451,Dem,0.0822
Claude Sonnet 4.5,atp_W29_HOOD_NHISA,4,0.2287,0.228,0.228,Dem,0.0525
Claude Sonnet 4.5,atp_W29_HOOD_NHISB,4,0.1886,0.1873,0.188,Dem,0.046
Claude Sonnet 4.5,atp_W29_HOOD_NHISC,4,0.2083,0.2479,0.2313,Rep,0.0604
Claude Sonnet 4.5,atp_W29_LOCALELECT,4,0.2712,0.2755,0.2764,Rep,0.0322
Claude Sonnet 4.5,atp_W29_MAN1A,4,0.1882,0.1859,0.1869,Dem,0.0582
Claude Sonnet 4.5,atp_W29_MAN1B,4,0.3551,0.3009,0.3273,Dem,0.0817
Claude Sonnet 4.5,atp_W29_MAN1C,4,0.3018,0.2571,0.2789,Dem,0.07
Claude Sonnet 4.5,atp_W29_MAN1D,4,0.2489,0.2372,0.2424,Dem,0.0505
Claude Sonnet 4.5,atp_W29_MAN1E,4,0.2779,0.2394,0.2591,Dem,0.0385
Claude Sonnet 4.5,atp_W29_MASC1F1,3,0.5034,0.5977,0.5527,Rep,0.0943
Claude Sonnet 4.5,atp_W29_MASC2,4,0.7515,0.6669,0.7083,Dem,0.0845
Claude Sonnet 4.5,atp_W29_MASC2AF1,2,0.1822,0.563,0.4217,Rep,0.3808
Claude Sonnet 4.5,atp_W29_MASC2BF1,2,0.0292,0.1957,0.0699,Rep,0.1665
Claude Sonnet 4.5,atp_W29_MESUM1_FA,2,0.1025,0.2869,0.2082,Rep,0.1844
Claude Sonnet 4.5,atp_W29_MESUM1_FB,2,0.1276,0.0761,0.098,Dem,0.0514
Claude Sonnet 4.5,atp_W29_MESUM1_FC,2,0.1882,0.2101,0.202,Rep,0.0219
Claude Sonnet 4.5,atp_W29_MESUM1_FD,2,0.4086,0.2892,0.3441,Dem,0.1194
Claude Sonnet 4.5,atp_W29_MESUM1_FE,2,0.4407,0.3902,0.4175,Dem,0.0505
Claude Sonnet 4.5,atp_W29_MESUM1_FF,2,0.4026,0.2309,0.3048,Dem,0.1717
Claude Sonnet 4.5,atp_W29_MESUM2_FA,2,0.4129,0.8212,0.6454,Rep,0.4083
Claude Sonnet 4.5,atp_W29_MESUM2_FB,2,0.9511,0.5928,0.7496,Dem,0.3583
Claude Sonnet 4.5,atp_W29_MESUM2_FC,2,0.6935,0.1414,0.3797,Dem,0.5521
Claude Sonnet 4.5,atp_W29_MESUM2_FD,2,0.0845,0.7193,0.438,Rep,0.6348
Claude Sonnet 4.5,atp_W29_MESUM2_FE,2,0.6787,0.173,0.3953,Dem,0.5058
Claude Sonnet 4.5,atp_W29_MESUM2_FF,2,0.8749,0.4096,0.6137,Dem,0.4653
Claude Sonnet 4.5,atp_W29_NOWSMK_NHIS,3,0.2716,0.2714,0.2724,Dem,0.0243
Claude Sonnet 4.5,atp_W29_PVOTE12MOD,2,0.865,0.8425,0.8445,Dem,0.0225
Claude Sonnet 4.5,atp_W29_RAN_DIFF1,5,0.3383,0.3206,0.3283,Dem,0.0177
Claude Sonnet 4.5,atp_W29_S12,6,0.1096,0.156,0.1378,Rep,0.0464
Claude Sonnet 4.5,atp_W29_S13,6,0.1537,0.1584,0.1577,Rep,0.0047
Claude Sonnet 4.5,atp_W29_SEENFEM,4,0.5519,0.4775,0.5063,Dem,0.0744
Claude Sonnet 4.5,atp_W29_SEENMASC,4,0.4777,0.4202,0.4464,Dem,0.0576
Claude Sonnet 4.5,atp_W29_SPOUSESEX,2,0.013,0.0468,0.0306,Rep,0.0338
Claude Sonnet 4.5,atp_W29_TALK_CPS,6,0.1985,0.2161,0.209,Rep,0.033
Claude Sonnet 4.5,atp_W29_TRAITSA,4,0.1574,0.1905,0.1757,Rep,0.0354
Claude Sonnet 4.5,atp_W29_TRAITSB,4,0.1177,0.1345,0.1282,Rep,0.0168
Claude Sonnet 4.5,atp_W29_TRAITSC,4,0.1816,0.1881,0.1846,Rep,0.0345
Claude Sonnet 4.5,atp_W29_TRAITSD,4,0.1626,0.1729,0.1686,Rep,0.0194
Claude Sonnet 4.5,atp_W29_TRAITSE,4,0.3039,0.286,0.2942,Dem,0.0276
Claude Sonnet 4.5,atp_W29_TRAITSF,4,0.172,0.1786,0.1763,Rep,0.0495
Claude Sonnet 4.5,atp_W29_TRANSGEND1,2,0.8242,0.2843,0.5182,Dem,0.5399
Claude Sonnet 4.5,atp_W29_WORRYBILL,4,0.3923,0.4274,0.4145,Rep,0.0351
Claude Sonnet 4.5,atp_W29_WORRYRET,4,0.2973,0.3223,0.3126,Rep,0.0368
Claude Sonnet 4.5,atp_W32_ABORTION,2,0.7096,0.1881,0.4382,Dem,0.5215
Claude Sonnet 4.5,atp_W32_ABORTIONALLOW,2,0.3213,0.2964,0.3197,Dem,0.025
Claude Sonnet 4.5,atp_W32_ABORTIONRESTR,2,0.2794,0.4295,0.3936,Rep,0.1501
Claude Sonnet 4.5,atp_W32_CITYSIZE,3,0.3174,0.3326,0.3292,Rep,0.1178
Claude Sonnet 4.5,atp_W32_CLASS,5,0.1336,0.1587,0.1479,Rep,0.0251
Claude Sonnet 4.5,atp_W32_COMATTACH,4,0.2008,0.2124,0.207,Rep,0.0186
Claude Sonnet 4.5,atp_W32_COMMIMPA,4,0.2434,0.2157,0.2291,Dem,0.187
Claude Sonnet 4.5,atp_W32_COMMIMPB,4,0.1839,0.2159,0.2016,Rep,0.032
Claude Sonnet 4.5,atp_W32_COMMIMPC,4,0.3004,0.2049,0.2502,Dem,0.2678
Claude Sonnet 4.5,atp_W32_COMMIMPD,4,0.2179,0.2364,0.2276,Rep,0.0185
Claude Sonnet 4.5,atp_W32_COMMIMPE,4,0.1937,0.2109,0.2029,Rep,0.0628
Claude Sonnet 4.5,atp_W32_COMMIMPF,4,0.2269,0.23,0.2288,Rep,0.0354
Claude Sonnet 4.5,atp_W32_COMMIMPG,4,0.3023,0.2855,0.2956,Dem,0.0168
Claude Sonnet 4.5,atp_W32_COMMIMPH,4,0.4938,0.3189,0.4016,Dem,0.1749
Claude Sonnet 4.5,atp_W32_COMMYRS,5,0.2871,0.3554,0.3239,Rep,0.0683
Claude Sonnet 4.5,atp_W32_COMTYPE2,3,0.2656,0.2655,0.2679,Dem,0.1571
Claude Sonnet 4.5,atp_W32_COMTYPE2_INS,3,0.2656,0.2655,0.2679,Dem,0.1571
Claude Sonnet 4.5,atp_W32_ECONFAIR2,2,0.491,0.0896,0.2758,Dem,0.4013
Claude Sonnet 4.5,atp_W32_ETHNCMAJ,3,0.1958,0.3853,0.2944,Rep,0.1894
Claude Sonnet 4.5,atp_W32_FEDSHAREA,3,0.6244,0.46,0.5369,Dem,0.1645
Claude Sonnet 4.5,atp_W32_FEDSHAREB,3,0.3789,0.4429,0.4142,Rep,0.064
Claude Sonnet 4.5,atp_W32_FEDSHAREC,3,0.157,0.1912,0.1739,Rep,0.0409
Claude Sonnet 4.5,atp_W32_FEELA,4,0.2262,0.2492,0.2389,Rep,0.0592
Claude Sonnet 4.5,atp_W32_FEELB,4,0.1487,0.1719,0.1621,Rep,0.0232
