model_label,question_id,condition,n_options,wd_rep,wd_dem,wd_overall,closer_to,partisan_gap,llm_dist
Claude Sonnet 4.5,atp_W26_GUNCONTRIBD,N,4,0.246,0.2004,0.2212,Dem,0.1302,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNFRIEND,C3L,4,0.3998,0.2424,0.3146,Dem,0.2309,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNFRIEND,CA,4,0.7044,0.4734,0.5782,Dem,0.2309,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNFRIEND,N,4,0.7044,0.4734,0.5782,Dem,0.2309,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNIDENTITY,C1L,4,0.5449,0.2849,0.4568,Dem,0.2601,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNIDENTITY,C3L,4,0.5449,0.2849,0.4568,Dem,0.2601,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNIDENTITY,C3R,4,0.3252,0.2453,0.2992,Dem,0.2601,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNIDENTITY,CA,4,0.5449,0.2849,0.4568,Dem,0.2601,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNIDENTITY,N,4,0.5449,0.2849,0.4568,Dem,0.2601,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF1,C3L,2,0.905,0.4848,0.6813,Dem,0.4202,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF1,C3R,2,0.095,0.5152,0.3187,Rep,0.4202,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF1,N,2,0.905,0.4848,0.6813,Dem,0.4202,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF2,C1L,2,0.8852,0.5493,0.702,Dem,0.3359,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF2,C3L,2,0.8852,0.5493,0.702,Dem,0.3359,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF2,C3R,2,0.1148,0.4507,0.298,Rep,0.3359,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF2,CA,2,0.8852,0.5493,0.702,Dem,0.3359,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNKILLF2,N,2,0.8852,0.5493,0.702,Dem,0.3359,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,C1L,4,0.3598,0.2721,0.3127,Dem,0.1515,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,C1R,4,0.3598,0.2721,0.3127,Dem,0.1515,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,C3L,4,0.6372,0.4856,0.5522,Dem,0.1515,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,C3R,4,0.3598,0.2721,0.3127,Dem,0.1515,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,CA,4,0.3598,0.2721,0.3127,Dem,0.1515,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSD,N,4,0.3598,0.2721,0.3127,Dem,0.1515,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,C1L,4,0.2619,0.2438,0.2529,Dem,0.1341,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,C1R,4,0.2619,0.2438,0.2529,Dem,0.1341,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,C3L,4,0.3993,0.2652,0.3254,Dem,0.1341,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,C3R,4,0.3993,0.2652,0.3254,Dem,0.1341,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,CA,4,0.2619,0.2438,0.2529,Dem,0.1341,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPKIDSE,N,4,0.3993,0.2652,0.3254,Dem,0.1341,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,C1L,4,0.2335,0.2659,0.2512,Rep,0.1193,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,C3L,4,0.2486,0.1293,0.1837,Dem,0.1193,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,C3R,4,0.4382,0.5472,0.4978,Rep,0.1193,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,CA,4,0.2335,0.2659,0.2512,Rep,0.1193,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSA,N,4,0.2335,0.2659,0.2512,Rep,0.1193,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,C1L,4,0.3893,0.5023,0.4507,Rep,0.1573,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,C3L,4,0.3893,0.5023,0.4507,Rep,0.1573,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,C3R,4,0.6526,0.8099,0.7373,Rep,0.1573,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,CA,4,0.3893,0.5023,0.4507,Rep,0.1573,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSB,N,4,0.3893,0.5023,0.4507,Rep,0.1573,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,C1R,4,0.2062,0.2699,0.2413,Rep,0.1294,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,C3L,4,0.3548,0.2953,0.3239,Dem,0.1294,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,C3R,4,0.2062,0.2699,0.2413,Rep,0.1294,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,CA,4,0.3548,0.2953,0.3239,Dem,0.1294,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSD,N,4,0.2062,0.2699,0.2413,Rep,0.1294,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,C1L,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,C1R,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,C3L,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,C3R,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,CA,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSE,N,4,0.2727,0.2677,0.2714,Dem,0.1624,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,C1L,4,0.2497,0.2364,0.2432,Dem,0.1456,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,C1R,4,0.2497,0.2364,0.2432,Dem,0.1456,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,C3L,4,0.2497,0.2364,0.2432,Dem,0.1456,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,C3R,4,0.3707,0.4817,0.4308,Rep,0.1456,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,CA,4,0.2497,0.2364,0.2432,Dem,0.1456,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNRESPNOKIDSF,N,4,0.3707,0.4817,0.4308,Rep,0.1456,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE,C1L,3,0.7614,0.4452,0.6367,Dem,0.3162,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE,C3L,3,0.4949,0.4704,0.485,Dem,0.3162,"[0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE,C3R,3,0.2386,0.5548,0.3633,Rep,0.3162,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE,N,3,0.2386,0.5548,0.3633,Rep,0.3162,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE2,C1L,3,0.4701,0.3176,0.3639,Dem,0.1525,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE2,C3L,3,0.4538,0.3196,0.3643,Dem,0.1525,"[0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE2,C3R,3,0.5299,0.6824,0.6361,Rep,0.1525,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_GUNSAFE2,N,3,0.4701,0.3176,0.3639,Dem,0.1525,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNA,C3L,3,0.6391,0.5008,0.5854,Dem,0.1384,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNA,CA,3,0.6391,0.5008,0.5854,Dem,0.1384,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNA,N,3,0.6391,0.5008,0.5854,Dem,0.1384,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,C1L,3,0.7474,0.5926,0.6854,Dem,0.1547,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,C3L,3,0.7474,0.5926,0.6854,Dem,0.1547,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,C3R,3,0.7474,0.5926,0.6854,Dem,0.1547,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,CA,3,0.7474,0.5926,0.6854,Dem,0.1547,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNB,N,3,0.7474,0.5926,0.6854,Dem,0.1547,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNC,C3L,3,0.5932,0.4552,0.539,Dem,0.1379,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNC,C3R,3,0.5932,0.4552,0.539,Dem,0.1379,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNC,CA,3,0.5932,0.4552,0.539,Dem,0.1379,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_GUNTYPEOWNC,N,3,0.5932,0.4552,0.539,Dem,0.1379,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NEVEROWN,C1L,2,0.8282,0.4855,0.7121,Dem,0.3428,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NEVEROWN,C1R,2,0.1718,0.5145,0.2879,Rep,0.3428,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_NEVEROWN,C3L,2,0.8282,0.4855,0.7121,Dem,0.3428,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NEVEROWN,C3R,2,0.1718,0.5145,0.2879,Rep,0.3428,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_NEVEROWN,N,2,0.8282,0.4855,0.7121,Dem,0.3428,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NOCARRYGUN,C1L,2,0.56,0.8042,0.6599,Rep,0.2442,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NOCARRYGUN,C3L,2,0.44,0.1958,0.3401,Dem,0.2442,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_NOCARRYGUN,C3R,2,0.56,0.8042,0.6599,Rep,0.2442,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_NOCARRYGUN,N,2,0.56,0.8042,0.6599,Rep,0.2442,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_POL1DT,C3L,2,0.8111,0.0516,0.3944,Dem,0.7595,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_POL1DT,C3R,2,0.1889,0.9484,0.6056,Rep,0.7595,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_POL1DT,N,2,0.8111,0.0516,0.3944,Dem,0.7595,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_POL1DTSTR,C3L,2,0.3533,0.1268,0.2316,Dem,0.2265,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_POL1DTSTR,C3R,2,0.3533,0.1268,0.2316,Dem,0.2265,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_POL1DTSTR,N,2,0.3533,0.1268,0.2316,Dem,0.2265,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNA,C3L,3,0.1784,0.3627,0.2393,Rep,0.1844,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNA,C3R,3,0.1784,0.3627,0.2393,Rep,0.1844,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNA,N,3,0.1784,0.3627,0.2393,Rep,0.1844,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNB,C3L,3,0.3924,0.4139,0.4004,Rep,0.1336,"[0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNB,C3R,3,0.4994,0.3658,0.4562,Dem,0.1336,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_REASONGUNB,N,3,0.4994,0.3658,0.4562,Dem,0.1336,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_SATISF,C1L,2,0.4498,0.1073,0.2609,Dem,0.3425,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_SATISF,C1R,2,0.4498,0.1073,0.2609,Dem,0.3425,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_SATISF,C3L,2,0.4498,0.1073,0.2609,Dem,0.3425,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_SATISF,C3R,2,0.4498,0.1073,0.2609,Dem,0.3425,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W26_SATISF,N,2,0.4498,0.1073,0.2609,Dem,0.3425,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5A,C1L,4,0.4189,0.2325,0.3176,Dem,0.3663,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5A,C3L,4,0.6827,0.3164,0.4826,Dem,0.3663,"[1.0, 0.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5A,C3R,4,0.3173,0.6836,0.5174,Rep,0.3663,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5A,N,4,0.4189,0.2325,0.3176,Dem,0.3663,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,C1L,4,0.4045,0.5716,0.4969,Rep,0.1671,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,C1R,4,0.2475,0.2798,0.2664,Rep,0.1671,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,C3L,4,0.3341,0.2146,0.2693,Dem,0.1671,"[0.0, 1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,C3R,4,0.4045,0.5716,0.4969,Rep,0.1671,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,CA,4,0.2475,0.2798,0.2664,Rep,0.1671,"[0.0, 0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB5D,N,4,0.4045,0.5716,0.4969,Rep,0.1671,"[0.0, 0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB6,C1R,2,0.2143,0.6585,0.455,Rep,0.4442,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB6,C3L,2,0.7857,0.3415,0.545,Dem,0.4442,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB6,C3R,2,0.2143,0.6585,0.455,Rep,0.4442,"[0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB6,CA,2,0.7857,0.3415,0.545,Dem,0.4442,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_ROBJOB6,N,2,0.7857,0.3415,0.545,Dem,0.4442,"[1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_WORK2,C1L,3,0.443,0.3909,0.417,Dem,0.2004,"[0.0, 0.0, 1.0]"
Claude Sonnet 4.5,atp_W27_WORK2,C1R,3,0.1301,0.3305,0.2386,Rep,0.2004,"[0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_WORK2,C3L,3,0.557,0.6091,0.583,Rep,0.2004,"[1.0, 0.0, 0.0]"
Claude Sonnet 4.5,atp_W27_WORK2,C3R,3,0.1301,0.3305,0.2386,Rep,0.2004,"[0.0, 1.0, 0.0]"
Claude Sonnet 4.5,atp_W27_WORK2,CA,3,0.443,0.3909,0.417,Dem,0.2004,"[0.0, 0.0, 1.0]"
