pew_id,pew_label,in_online_quiz,question_text,response_options,ideo_direction,direction_label,rationale,source
pew_15,PROG_RNEED2b,yes,"[ASK IF PROG_RNEED=1] Which comes closer to your view about what needs to be done to ensure equal rights for all Americans regardless of their racial or ethnic backgrounds — even if neither is exactly right?","1 Most U.S. laws and major institutions need to be completely rebuilt because they are fundamentally biased against some racial and ethnic groups | 2 While there are many inequities in U.S. laws and institutions, necessary changes can be made by working within the current systems",-1,left,"Structural-reform view (option 1) is far-left; incrementalist (option 2) is center-left. Both left of center.",Pew 2021 Typology Appendix B p.134
pew_16,SOCIETYTRANS,yes,"Do you think each of the following is generally good or bad for our society? Greater social acceptance of people who identify as transgender (people who identify as a gender that is different from the sex they were assigned at birth)","1 Very good for society | 2 Somewhat good for society | 3 Neither good nor bad for society | 4 Somewhat bad for society | 5 Very bad for society",-1,left,"Pro-trans-acceptance (options 1-2) is left-coded; anti (options 4-5) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_17,PROBOFFa,yes,"How much of a problem, if any, would you say each of the following are in the country today? People being too easily offended by things others say","1 Major problem | 2 Minor problem | 3 Not a problem",1,right,"Complaint about ""wokeness"" / over-sensitivity (option 1) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_18,PROBOFFb,yes,"How much of a problem, if any, would you say each of the following are in the country today? People saying things that are very offensive to others","1 Major problem | 2 Minor problem | 3 Not a problem",-1,left,"Concern about offensive speech (option 1) is left-coded.",Pew 2021 Typology Appendix B p.134
pew_19,BUSPROFIT,yes,"Please choose the statement that comes closer to your views — even if neither is exactly right.","1 Business corporations make too much profit | 2 Most corporations make a fair and reasonable amount of profit",-1,left,"Corporate-critical view (option 1) is left-coded; pro-corporate (option 2) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_20,CNTRYFAIR,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 Other countries generally treat the United States about as fairly as we treat them | 2 Other countries often take unfair advantage of the United States",-1,left,"Multilateralist framing (option 1) is left-coded; nationalist grievance (option 2) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_21,GOVPROTCT,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 It's not the government's job to protect people from themselves | 2 Sometimes laws to protect people from themselves are necessary",1,right,"Anti-paternalism / limited-government (option 1) is right-coded; pro-regulation (option 2) is left-coded.",Pew 2021 Typology Appendix B p.134
pew_22,GOVAID,no,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 Government aid to the poor does more harm than good, by making people too dependent on government assistance | 2 Government aid to the poor does more good than harm, because people can't get out of poverty until their basic needs are met",-1,left,"Pro-welfare view (option 2) is left-coded; welfare-critical (option 1) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_23,RELIG_GOV,yes,"Please choose the statement that comes closer to your own views — even if neither is exactly right.","1 Religion should be kept separate from government policies | 2 Government policies should support religious values and beliefs",-1,left,"Separation of church and state (option 1) is left-coded; religious-conservative (option 2) is right-coded.",Pew 2021 Typology Appendix B p.134
pew_24,RACESURV52MOD,yes,"How much, if at all, would it bother you to regularly hear people speak a language other than English in public places in your community?","1 A lot | 2 Some | 3 Not much | 4 Not at all",1,right,"Bothered by non-English (options 1-2) is right-coded; unbothered (options 3-4) is left-coded.",Pew 2021 Typology Appendix B p.134
pew_25,GLBLZE,yes,"Thinking about increased trade of goods and services between the U.S. and other nations in recent decades ... Some say the U.S. has gained from increased trade because it has helped bring lower prices and increased the competitiveness of some U.S. businesses. Others say the U.S. has lost out from increased trade because it has cost jobs in manufacturing and other industries and lowered wages for some U.S. workers. All in all, would you say that the U.S. has ...","1 Gained more than it has lost from increased trade | 2 Lost more than it has gained from increased trade",0,ambiguous,"Pro-trade historically right; post-2016 trade skepticism is populist-right; pro-worker trade skepticism is populist-left. Genuinely crosscutting.",Pew 2021 Typology Appendix B p.134
pew_26,THERMOa,yes,"We'd like to get your feelings toward a number of groups in the U.S. on a ""feeling thermometer."" ... How do you feel toward Republicans?","Enter the number between 0 and 100 that reflects your feelings",0,ambiguous,"Feeling thermometer; not a left/right content item per se but could be scored directionally (warm-to-R = right-coded).",Pew 2021 Typology Appendix B p.134
pew_27,THERMOb,yes,"We'd like to get your feelings toward a number of groups in the U.S. on a ""feeling thermometer."" ... How do you feel toward Democrats?","Enter the number between 0 and 100 that reflects your feelings",0,ambiguous,"Feeling thermometer; could be scored directionally (warm-to-D = left-coded).",Pew 2021 Typology Appendix B p.134
