wave,var_name,question,n_options,option_labels,dist_overall,dist_rep,dist_dem,n_overall,n_rep,n_dem,partisan_gap,error
W26,WORRYG,"How much, if at all, do you worry about the following things happening to you? Having a personal health crisis",3,"[""Worry a lot"", ""Worry a little"", ""Do not worry at all""]","[0.2276, 0.5939, 0.1785]","[0.1814, 0.5937, 0.2249]","[0.2617, 0.6003, 0.1381]",4168,1869,2213,0.0835,
W26,DESCRIBEA,"How well, if at all, do each of the following phrases describe you? A religious person",5,"[""Extremely well"", ""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]","[0.1904, 0.2315, 0.2282, 0.1665, 0.1834]","[0.2871, 0.2887, 0.2378, 0.1098, 0.0766]","[0.1079, 0.1846, 0.2177, 0.2181, 0.2717]",4168,1869,2213,0.2402,
W26,DESCRIBEB,"How well, if at all, do each of the following phrases describe you? A patriotic person",5,"[""Extremely well"", ""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]","[0.3098, 0.3534, 0.2439, 0.0674, 0.0255]","[0.4552, 0.3721, 0.1373, 0.0236, 0.0118]","[0.1922, 0.3386, 0.3323, 0.1047, 0.0322]",4168,1869,2213,0.1704,
W26,DESCRIBEC,"How well, if at all, do each of the following phrases describe you? A supporter of the environment",5,"[""Extremely well"", ""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]","[0.2838, 0.3589, 0.2997, 0.0496, 0.0079]","[0.1166, 0.3423, 0.4422, 0.0844, 0.0145]","[0.4221, 0.3741, 0.1807, 0.0213, 0.0018]",4168,1869,2213,0.1828,
W26,DESCRIBED,"How well, if at all, do each of the following phrases describe you? A supporter of women's rights",5,"[""Extremely well"", ""Very well"", ""Somewhat well"", ""Not too well"", ""Not at all well""]","[0.3417, 0.353, 0.2384, 0.0513, 0.0157]","[0.13, 0.374, 0.3702, 0.0978, 0.0279]","[0.5204, 0.3401, 0.1245, 0.0118, 0.0032]",4168,1869,2213,0.2206,
W26,EVEROWN,"Have you ever owned a gun at any point in your life, or have you never owned a gun?",2,"[""Yes, have owned a gun"", ""No, have never owned a gun""]","[0.1593, 0.8407]","[0.2037, 0.7963]","[0.1333, 0.8667]",2839,1012,1765,0.0704,
W26,COULDOWN,Which best describes you?,2,"[""I could see myself owning a gun again/at some point"", ""I could never see myself owning a gun again""]","[0.4884, 0.5116]","[0.6827, 0.3173]","[0.3851, 0.6149]",2783,962,1761,0.2977,
W26,NEVEROWN,Which best describes you?,2,"[""I could never see myself NOT owning a gun"", ""I could see myself not owning a gun at some point in the future""]","[0.7121, 0.2879]","[0.8282, 0.1718]","[0.4855, 0.5145]",1329,857,448,0.3428,
W26,GUNTYPEOWNA,Do you currently or have you ever owned any of the following? A rifle,3,"[""Yes, I currently own"", ""Yes, I have owned in the past but do not currently own"", ""No, I have never owned""]","[0.4631, 0.2445, 0.2924]","[0.536, 0.2062, 0.2578]","[0.3477, 0.3061, 0.3462]",1773,1055,682,0.1384,
W26,GUNTYPEOWNB,Do you currently or have you ever owned any of the following? A handgun or pistol,3,"[""Yes, I currently own"", ""Yes, I have owned in the past but do not currently own"", ""No, I have never owned""]","[0.5865, 0.1978, 0.2157]","[0.6654, 0.1639, 0.1707]","[0.4711, 0.243, 0.2859]",1773,1055,682,0.1547,
W26,GUNTYPEOWNC,Do you currently or have you ever owned any of the following? A shotgun,3,"[""Yes, I currently own"", ""Yes, I have owned in the past but do not currently own"", ""No, I have never owned""]","[0.4366, 0.2047, 0.3587]","[0.5073, 0.1717, 0.321]","[0.3284, 0.2537, 0.4179]",1773,1055,682,0.1379,
W26,REASONGUNA,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For protection",3,"[""Major reason"", ""Minor reason"", ""Not a reason""]","[0.6307, 0.26, 0.1093]","[0.7064, 0.2304, 0.0632]","[0.4777, 0.3192, 0.2031]",1329,857,448,0.1844,
W26,REASONGUNB,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For hunting",3,"[""Major reason"", ""Minor reason"", ""Not a reason""]","[0.3567, 0.1991, 0.4442]","[0.3918, 0.2152, 0.393]","[0.2796, 0.1723, 0.5481]",1329,857,448,0.1336,
W26,REASONGUNC,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, includi",3,"[""Major reason"", ""Minor reason"", ""Not a reason""]","[0.3348, 0.3462, 0.319]","[0.3611, 0.354, 0.2849]","[0.2735, 0.3363, 0.3901]",1329,857,448,0.0964,
W26,REASONGUND,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",3,"[""Major reason"", ""Minor reason"", ""Not a reason""]","[0.1287, 0.2422, 0.6291]","[0.1429, 0.2518, 0.6054]","[0.0903, 0.2325, 0.6772]",1329,857,448,0.0622,
W26,REASONGUNE,"Below are some of the reasons that some people say they own guns. For each, please indicate whether it is a major reason, a minor reason, or not a reason why you own a gun. For my job",3,"[""Major reason"", ""Minor reason"", ""Not a reason""]","[0.0687, 0.0793, 0.852]","[0.0621, 0.0773, 0.8607]","[0.0785, 0.0717, 0.8498]",1329,857,448,0.0136,
W26,IMPREASONGUN,Which of the following is the MOST Important reason why you own a gun?,5,"[""For protection"", ""For hunting"", ""For sport shooting, including target shooting and trap and skeet"", ""As part of a gun collection"", ""For my job""]","[0.5009, 0.2637, 0.145, 0.0452, 0.0452]","[0.5091, 0.2715, 0.1567, 0.0339, 0.0287]","[0.4846, 0.2308, 0.1231, 0.0692, 0.0923]",533,384,131,0.0631,
W26,GUNIDENTITY,"How important, if at all, is being a gun owner to your overall identity?",4,"[""Very important"", ""Somewhat important"", ""Not too important"", ""Not at all important""]","[0.2161, 0.2018, 0.3185, 0.2636]","[0.2777, 0.2497, 0.3022, 0.1704]","[0.0917, 0.1119, 0.3557, 0.4407]",1329,857,448,0.2601,
W26,GUNFRIEND,"As far as you know, how many of your friends, if any, own guns?",4,"[""All or most"", ""Some"", ""Only a few"", ""None""]","[0.2145, 0.4102, 0.2708, 0.1045]","[0.3546, 0.447, 0.1551, 0.0432]","[0.0968, 0.3801, 0.3697, 0.1534]",4168,1869,2213,0.2309,
W26,GUNSOCIETY,Do you feel that Society IN General tends to look at most gun owners in a positive way or a negative way?,2,"[""Positive way"", ""Negative way""]","[0.4268, 0.5732]","[0.4543, 0.5457]","[0.4025, 0.5975]",4168,1869,2213,0.0519,
W26,GUNCOMMUNITY,Do you feel that People IN YOUR Community tend to look at most gun owners in a positive way or a negative way?,2,"[""Positive way"", ""Negative way""]","[0.6387, 0.3613]","[0.7533, 0.2467]","[0.5397, 0.4603]",4168,1869,2213,0.2135,
W26,KNOWGUN,Which of the following best describes you?,3,"[""I'd rather other people not know that I own a gun/guns"", ""I don't mind if other people know I own a gun/guns, but I don't go out of my way to tell them"", ""I want other people to know I own a gun/guns""]","[0.1468, 0.8133, 0.0399]","[0.1168, 0.8294, 0.0537]","[0.1964, 0.7924, 0.0112]",1329,857,448,0.0611,
W26,TRUSTFEDGOV,"Generally speaking, how much of the time do you think you can trust the federal government to do what is right?",4,"[""Just about always"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.0141, 0.2637, 0.6481, 0.0742]","[0.0086, 0.2282, 0.6846, 0.0786]","[0.0183, 0.3006, 0.6187, 0.0623]",2070,934,1092,0.036,
W26,SOCTRUST,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?",2,"[""Most people can be trusted"", ""Can't be too careful""]","[0.5388, 0.4612]","[0.5423, 0.4577]","[0.5372, 0.4628]",2098,935,1121,0.0052,
W26,GUNSAFE,Does having a gun in your household make you feel...,3,"[""Safer than you would feel without a gun in your household"", ""Less safe than you would feel without a gun in your household"", ""No more or less safe""]","[0.6217, 0.03, 0.3483]","[0.7563, 0.0102, 0.2335]","[0.4156, 0.0592, 0.5253]",1806,1079,694,0.3162,
W26,GUNSAFE2,Would having a gun in your household make you feel...,3,"[""Safer than you feel without a gun in your household"", ""Less safe than you feel without a gun in your household"", ""No more or less safe""]","[0.2282, 0.2714, 0.5004]","[0.4239, 0.0924, 0.4837]","[0.1373, 0.3607, 0.502]",2299,739,1510,0.1525,
W26,GUNCONTRIBA,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The ease with which peopl",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.3157, 0.2813, 0.2637, 0.1393]","[0.118, 0.2189, 0.4024, 0.2607]","[0.4823, 0.3351, 0.1476, 0.035]",4168,1869,2213,0.3569,
W26,GUNCONTRIBB,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The ease with which peopl",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.5827, 0.3025, 0.0813, 0.0335]","[0.514, 0.333, 0.102, 0.051]","[0.6409, 0.2795, 0.0633, 0.0163]",4168,1869,2213,0.0784,
W26,GUNCONTRIBC,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The amount of gun violenc",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.2479, 0.3726, 0.3086, 0.0708]","[0.2535, 0.3588, 0.3008, 0.087]","[0.241, 0.3855, 0.3174, 0.0561]",2070,934,1092,0.0192,
W26,GUNCONTRIBD,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? Lack of economic opportun",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.2405, 0.4116, 0.2726, 0.0753]","[0.1737, 0.3743, 0.3398, 0.1122]","[0.3006, 0.4412, 0.216, 0.0423]",2070,934,1092,0.1302,
W26,GUNCONTRIBE,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? The amount of gun violenc",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.2658, 0.3397, 0.2913, 0.1032]","[0.2756, 0.3455, 0.2788, 0.1001]","[0.2545, 0.336, 0.3056, 0.1039]",2098,935,1121,0.0185,
W26,GUNCONTRIBF,"Here is a list of things some people say contribute to gun violence. How much, if at all, do you think each of the following contributes to gun violence in the country today? Family instability",4,"[""A great deal"", ""A fair amount"", ""Not too much"", ""Not at all""]","[0.3172, 0.4571, 0.2046, 0.0211]","[0.2868, 0.4651, 0.2202, 0.0279]","[0.3414, 0.4543, 0.1882, 0.0161]",2098,935,1121,0.0367,
W26,GROWUPCOM,How would you describe the community where you spent the majority of time when you were growing up?,4,"[""A city"", ""A suburb"", ""A small town"", ""A rural area""]","[0.2411, 0.3144, 0.2769, 0.1675]","[0.1989, 0.2944, 0.3003, 0.2064]","[0.2751, 0.3335, 0.2579, 0.1335]",4168,1869,2213,0.0881,
W26,GROWUPVIOL,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,4,"[""A very big problem"", ""A moderately big problem"", ""A small problem"", ""Not a problem at all""]","[0.027, 0.0662, 0.2453, 0.6615]","[0.0161, 0.0414, 0.2062, 0.7363]","[0.0353, 0.0861, 0.2776, 0.601]",4168,1869,2213,0.0728,
W26,GROWUPGUN1,"Thinking about when you were growing up, as far as you know, were there ever any guns in your household or not?",3,"[""Yes, there were guns in my household"", ""No, there were no guns in my household"", ""I am not sure if there were guns in my household""]","[0.5177, 0.4172, 0.065]","[0.6195, 0.3175, 0.063]","[0.4346, 0.5011, 0.0643]",4168,1869,2213,0.0931,
W26,GROWUPGUN2A,Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,2,"[""Yes, was a reason"", ""No, was not a reason""]","[0.5161, 0.4839]","[0.5476, 0.4524]","[0.4791, 0.5209]",2149,1151,960,0.0685,
W26,GROWUPGUN2B,Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,2,"[""Yes, was a reason"", ""No, was not a reason""]","[0.6939, 0.3061]","[0.7446, 0.2554]","[0.6356, 0.3644]",2149,1151,960,0.1089,
W26,GROWUPGUN2C,"Would you say each of the following was a reason or was not a reason why there were guns in your household when you were growing up? For sport shooting, including target shooting and trap and skeet",2,"[""Yes, was a reason"", ""No, was not a reason""]","[0.4724, 0.5276]","[0.521, 0.479]","[0.4117, 0.5883]",2149,1151,960,0.1093,
W26,GROWUPGUN4,"Thinking about the people in the community where you spent the majority of time when you were growing up...As far as you know, how many people owned guns?",4,"[""All or most"", ""Some"", ""Only a few"", ""None""]","[0.2082, 0.3958, 0.2794, 0.1166]","[0.2979, 0.4074, 0.2189, 0.0758]","[0.1332, 0.3861, 0.3279, 0.1528]",4168,1869,2213,0.1425,
W26,GROWUPGUN5,"How often, if ever, did you go hunting when you were growing up?",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0949, 0.125, 0.1454, 0.6347]","[0.1486, 0.1647, 0.1652, 0.5215]","[0.0503, 0.0921, 0.127, 0.7306]",4168,1869,2213,0.1594,
W26,GROWUPGUN6,"How often, if ever, did you go shooting or to a gun range when you were growing up?",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0621, 0.2049, 0.2516, 0.4813]","[0.0881, 0.2431, 0.255, 0.4138]","[0.0341, 0.1639, 0.2466, 0.5554]",3196,1605,1529,0.1096,
W26,GROWUPGUN7,"How often, if ever, did you use air guns, such as paintball, BB or pellet guns when you were growing up?",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.1589, 0.2205, 0.2215, 0.3991]","[0.224, 0.2632, 0.1874, 0.3255]","[0.1023, 0.1833, 0.2526, 0.4617]",4168,1869,2213,0.1531,
W26,GUNRESPNOKIDSA,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns in a locked place,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.6013, 0.2686, 0.1078, 0.0223]","[0.4774, 0.3297, 0.1627, 0.0302]","[0.705, 0.2169, 0.0634, 0.0147]",2070,934,1092,0.1193,
W26,GUNRESPNOKIDSB,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns unloaded,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.4944, 0.2932, 0.1422, 0.0701]","[0.3694, 0.3239, 0.2015, 0.1051]","[0.6007, 0.2668, 0.0938, 0.0386]",2070,934,1092,0.1573,
W26,GUNRESPNOKIDSC,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Take gun safety courses,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.7101, 0.2393, 0.0457, 0.0049]","[0.616, 0.3182, 0.0626, 0.0032]","[0.7873, 0.175, 0.0322, 0.0055]",2070,934,1092,0.0672,
W26,GUNRESPNOKIDSD,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors that there are guns in the house,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.1567, 0.2194, 0.4329, 0.191]","[0.0998, 0.1774, 0.4812, 0.2417]","[0.2047, 0.2572, 0.3949, 0.1431]",1027,454,553,0.1294,
W26,GUNRESPNOKIDSE,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors with children that there are guns in the house,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.4942, 0.2539, 0.1839, 0.0681]","[0.37, 0.2727, 0.2664, 0.0909]","[0.606, 0.2383, 0.1144, 0.0413]",1043,480,539,0.1624,
W26,GUNRESPNOKIDSF,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Store guns and ammunition separately,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.4589, 0.3226, 0.1664, 0.0521]","[0.352, 0.3294, 0.24, 0.0786]","[0.5503, 0.3176, 0.1053, 0.0268]",2070,934,1092,0.1456,
W26,GUNRESPNOKIDSG,Thinking about gun owners who DO NOT HAVE Children IN Their HOME…How important do you think it is for them to: Keep their shooting skills up-to-date,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.4732, 0.3925, 0.125, 0.0092]","[0.4682, 0.4187, 0.1087, 0.0043]","[0.4733, 0.372, 0.1418, 0.0129]",2070,934,1092,0.0184,
W26,GUNRESPKIDSA,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns in a locked place,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.8193, 0.1462, 0.0268, 0.0077]","[0.7118, 0.2344, 0.0398, 0.014]","[0.9086, 0.0717, 0.017, 0.0027]",2098,935,1121,0.0807,
W26,GUNRESPKIDSB,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep all of their guns unloaded,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.6737, 0.2212, 0.0643, 0.0408]","[0.5447, 0.3014, 0.1023, 0.0517]","[0.7848, 0.1489, 0.0341, 0.0323]",2098,935,1121,0.1157,
W26,GUNRESPKIDSC,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Take gun safety courses,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.7532, 0.218, 0.0216, 0.0072]","[0.6692, 0.306, 0.0205, 0.0043]","[0.8206, 0.148, 0.0215, 0.0099]",2098,935,1121,0.0545,
W26,GUNRESPKIDSD,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors that there are guns in the house,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.1408, 0.2827, 0.3556, 0.2209]","[0.0839, 0.2109, 0.415, 0.2902]","[0.1797, 0.3499, 0.304, 0.1663]",991,441,526,0.1515,
W26,GUNRESPKIDSE,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Advise visitors with children that there are guns in the house,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.3913, 0.3276, 0.1947, 0.0864]","[0.2939, 0.3347, 0.251, 0.1204]","[0.4679, 0.326, 0.1486, 0.0574]",1107,494,595,0.1341,
W26,GUNRESPKIDSF,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Store guns and ammunition separately,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.6402, 0.2517, 0.0797, 0.0283]","[0.5161, 0.3215, 0.1247, 0.0376]","[0.7482, 0.1906, 0.0405, 0.0207]",2098,935,1121,0.1167,
W26,GUNRESPKIDSG,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Keep their shooting skills up-to-date,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.452, 0.3876, 0.1451, 0.0154]","[0.4715, 0.4112, 0.1119, 0.0054]","[0.4358, 0.3693, 0.1734, 0.0216]",2098,935,1121,0.0432,
W26,GUNRESPKIDSH,Thinking about gun owners WHO HAVE Children IN Their HOME…How important do you think it is for them to: Talk to their children about gun safety,4,"[""Essential"", ""Important but not essential"", ""Not important"", ""Should not be done""]","[0.9309, 0.0523, 0.012, 0.0048]","[0.9291, 0.0537, 0.0118, 0.0054]","[0.9345, 0.0493, 0.0126, 0.0036]",2098,935,1121,0.0027,
W26,GUNSAFETYKIDS,"For this question, please think about your child or children who are under 18. Have you ever talked with your child or children about gun safety?",3,"[""Yes"", ""No"", ""I do not have children under 18""]","[0.6612, 0.3345, 0.0043]","[0.7472, 0.2491, 0.0037]","[0.5751, 0.4214, 0.0035]",1151,542,579,0.0862,
W26,CARRYGUN,"How often, if ever, do you carry a handgun or pistol outside your home, not including times when you are transporting it?",4,"[""All of the time"", ""Most of the time"", ""Only some of the time"", ""Never""]","[0.1006, 0.1351, 0.3264, 0.4379]","[0.1193, 0.1517, 0.3608, 0.3682]","[0.0629, 0.1006, 0.2421, 0.5943]",1017,682,318,0.13,
W26,NOCARRYGUN,And would you say you never carry a handgun or pistol because you don't want to or for some other reason?,2,"[""Don't want to carry"", ""Some other reason""]","[0.6599, 0.3401]","[0.56, 0.44]","[0.8042, 0.1958]",444,250,189,0.2442,
W26,GUNKILLF1,"Which comes closer to your view, even if neither is exactly right?",2,"[""People who want to kill or harm others will find a way to do it whether they have a gun or not"", ""People who want to kill or harm others are less likely to do it if they don't have a gun""]","[0.6813, 0.3187]","[0.905, 0.095]","[0.4848, 0.5152]",2070,934,1092,0.4202,
W26,GUNKILLF2,"Thinking about people who commit suicide using a gun, which comes closer to your view, even if neither is exactly right?",2,"[""They would find a way to do it whether they had access to a gun or not"", ""They would be less likely to do it if they didn't have access to a gun""]","[0.702, 0.298]","[0.8852, 0.1148]","[0.5493, 0.4507]",2098,935,1121,0.3359,
W26,GUNACTIVITYA,"How often, if ever, do you…Visit websites about guns, hunting or other shooting sports",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0212, 0.1118, 0.1703, 0.6967]","[0.037, 0.1771, 0.2126, 0.5733]","[0.0077, 0.0558, 0.1355, 0.801]",4168,1869,2213,0.1359,
W26,GUNACTIVITYB,"How often, if ever, do you…Watch TV programs about guns or watch gun-oriented videos",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0439, 0.1863, 0.261, 0.5089]","[0.049, 0.2383, 0.3002, 0.4126]","[0.0376, 0.1421, 0.2304, 0.5899]",4168,1869,2213,0.0987,
W26,GUNACTIVITYC,"How often, if ever, do you…Listen to gun-oriented podcasts or radio shows",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0072, 0.0495, 0.1185, 0.8248]","[0.0097, 0.077, 0.1733, 0.74]","[0.0041, 0.025, 0.0722, 0.8988]",4168,1869,2213,0.074,
W26,GUNACTIVITYD,"How often, if ever, do you…Participate in online discussion forums about guns",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0065, 0.0342, 0.1225, 0.8367]","[0.0097, 0.0447, 0.1394, 0.8062]","[0.0041, 0.0258, 0.1092, 0.8609]",4168,1869,2213,0.0282,
W26,GUNACTIVITYE,"How often, if ever, do you…Attend gun shows",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.0092, 0.0769, 0.1447, 0.7692]","[0.015, 0.1272, 0.2169, 0.6409]","[0.0041, 0.0345, 0.0845, 0.8768]",4168,1869,2213,0.1168,
W26,VIDEOGAME1,"How often, if ever, do you play video games on a computer, TV, game console, or portable device like a cellphone?",4,"[""Often"", ""Sometimes"", ""Hardly ever"", ""Never""]","[0.1782, 0.188, 0.201, 0.4328]","[0.1752, 0.1801, 0.1945, 0.4502]","[0.1806, 0.1933, 0.2096, 0.4165]",4168,1869,2213,0.0192,
W27,CAREREL,"How likely is it that, at some point in your life, you will be responsible for caring for an aging parent or family member?",5,"[""Very likely"", ""Somewhat likely"", ""Not too likely"", ""Not at all likely"", ""I am already doing this""]","[0.3783, 0.2655, 0.1317, 0.1239, 0.1006]","[0.3626, 0.2657, 0.1329, 0.1366, 0.1022]","[0.3889, 0.2704, 0.1313, 0.1139, 0.0955]",4135,1862,2186,0.0234,
W27,KNOW1,"Based on what you know, in the last 30 years has the total number of manufacturing jobs in the United States...",3,"[""Increased"", ""Decreased"", ""Stayed about the same""]","[0.07, 0.8719, 0.0581]","[0.0571, 0.8928, 0.0501]","[0.0805, 0.8551, 0.0644]",4135,1862,2186,0.0188,
W27,KNOW2,"Based on what you know, in the last 30 years has the value of the goods and products manufactured in the United States...",3,"[""Increased"", ""Decreased"", ""Stayed about the same""]","[0.3642, 0.4552, 0.1805]","[0.3319, 0.4943, 0.1738]","[0.3944, 0.4169, 0.1887]",4135,1862,2186,0.0387,
W27,PREDICTA,Do you think each of the following things will or will not happen in the next 20 years? Doctors will rely on computer programs to diagnose most diseases and determine treatments,4,"[""Will definitely happen"", ""Will probably happen"", ""Will probably NOT happen"", ""Will definitely NOT happen""]","[0.2035, 0.6009, 0.1836, 0.0119]","[0.1801, 0.6173, 0.1914, 0.0113]","[0.2185, 0.5941, 0.1754, 0.0119]",4135,1862,2186,0.0182,
